topic,top_terms
0,injury; acl; risk; injuries; knee; hip; athletes; landing; players; female; study; factors; prevention; soccer; strength
1,soccer; players; training; ankle; study; group; knee; jump; velocity; performance; force; results; significant; kicking; performed
2,injury; risk; studies; acl; factors; hamstring; using; strength; used; increased; evidence; hip; associated; review; muscle
3,group; parameters; time; effect; significant; changes; size; athletes; study; function; sfs; sml; lml; soccer; analysis
4,head; players; soccer; impact; study; concussion; impacts; football; athletes; mean; data; sports; injury; high; heading
5,players; football; soccer; muscle; training; study; results; used; game; muscles; games; differences; lower; performance; variables
