topic,top_terms
0,mn; study; math; group; test; mo; injuries; athletes; sports; results; research; soccer; performance; balance; injury
1,players; soccer; study; football; total; time; performance; results; impact; mean; years; athletes; cm; head; youth
2,players; jump; study; formula; text; vs; movement; participants; leg; height; compared; higher; lt; horizontal; cai
3,players; soccer; training; study; injury; football; results; injuries; ball; test; performance; lower; group; significant; strength
4,knee; injury; acl; risk; study; players; athletes; soccer; injuries; landing; peak; used; using; data; sports
5,acl; injury; athletes; physical; football; sports; training; sport; activity; text; study; data; exercise; google; scholar
