cluster,sample_keywords
0,"gps, lps, greater quadriceps, groups, jumps, mps, ps, quadriceps, quadriceps hamstrings, to quadriceps, two groups"
1,"pain, game, groin pain, intervention, programme, asymmetry, athlete, back pain, filter, an outer, asymmetries, cerebral palsy, exercise programme, female athletes, fifth metatarsal"
2,"classification, fitness, test, cutting, estimation, mechanical, mechanism, neck, physical fitness, rates, stiffness, tests, acting, aetiology, agility test"
3,"acl, concussion, ball, force, h3, head, hip, cod, exposure, strength, ankle, group, impacts, knee, 95th"
4,"injuries, extremity injury, groin injuries, injury, of injury, sports injuries, acl injured, acl injuries, acl injury, ankle injuries, concussive injury, extremity injuries, injured, injured players, injury risk"
5,"running, kicking, brain, hamstring, landing, training, walking, heading, jumping, learning, running performance, wearing, arm swing, backswing, bending"
6,"season, postural, directional, dual task, experimental, experimental group, inertial, intensity, isokinetic, motor, partial, postural control, seasons, sensor, sensors"
