cluster,sample_keywords
0,"training, specific training, strain, explaining of, gaining, interval training, neuromuscular training, physical training, plyometric training, sprint training, strength training, training aim"
1,"ankle, wearable, female, muscle, angle, female athletes, muscles, ankle df, ankle flexion, ankle injuries, calf muscle, extremity muscle, extremity musculoskeletal, female futsal, females"
2,"ball, tears, handball, ball kicking, foot, footballers, spanish football, angle ball, australian football, ball release, female basketball, foot arches, foot contacts, handball players, of ball"
3,"h3, cod, sprint, fatigue, group, knee, strength, cai, cmj, dominant, injuries, model, sports, activation, ai"
4,"acl, aclr, acl injuries, acl force, acl injury, acl rupture, acl stress, acli, aclr group, athletes aclr, factors acl, secondary acl, their aclr"
5,"et al, anterior cruciate, artificial turf, contact, cortical, natural grass, non surgical, physical, psychological, visual, al, anterior, athletic, athletic movement, biomechanical load"
6,"head, jump, head impact, header, heading, health, heading incidence, headings, jump height, jump performance, jumps, my jump"
7,"limb, properties, warm, warm up, amateur soccer, breast support, elite soccer, female soccer, in soccer, inter limb, leg power, limb injuries, limb motor, lower extremity, lower limb"
