topic,top_terms
0,performance; jump; study; players; football; group; analysis; results; lower; soccer; landing; force; injury; using; performed
1,players; soccer; strength; study; performance; speed; training; sprint; female; cod; differences; lt; athletes; significant; lower
2,injuries; football; anterior; players; injury; female; training; ligament; athletes; acl; study; analysis; cruciate; balance; measures
3,acl; knee; injury; injuries; risk; ligament; training; joint; athletes; anterior; cruciate; sports; football; prevention; cutting
4,players; study; soccer; sports; athletes; football; performance; studies; results; used; training; muscle; group; using; data
5,training; players; performance; test; group; soccer; study; sports; program; football; lt; control; specific; significant; different
