cluster,sample_keywords
0,"ml, mml"
1,"acl, aclr, of acl, after acl, an acl, an aclr"
2,"balance, adolescent, adolescence, adolescence to, athletic performance, balance of, performance, performances, preadolescent, resistance, sports performance, adolescent athletes, adolescents, balance in, balance is"
3,"h3, jump, foot, trunk, agility, ball, core, group, muscle, player, sprint, src, strength, achilles, ci"
4,"training, hamstring, landing, heading, resistance training, running, running speed, core training, eccentric training, hamstring flexibility, hamstring injury, jump landing, loading, of hamstring, of heading"
5,"knee, knee valgus, isokinetic knee, knee abduction, knee function, knee pain, knee stability, knee stiffness, knees, lowest knee, poor knee"
6,"concussion, tendon, tests, positions, prevention, test, tester, traction, acceleration, acl reconstruction, activation, avulsion, completion, completion time, dorsiflexion"
7,"ankle, injuries, acl injury, lateral ankle, ankle dorsiflexion, ankle sprain, injured, injury, injury prevention, muscle injury, re injury, sports injury, acl injuries, ankle ability, ankle biomechanics"
