cluster,sample_keywords
0,"u13, u17"
1,"group, head, training, knee, landing, cmj, muscle, reliability, stiffness, agility, dominant, es, fms, foot, football"
2,"injury, head impact, impact, impacts, injuries, be injured, brain injury, groin injury, head impacts, hip injury, impact biomechanics, impact data, impact force, impact loading, impacts to"
3,"hip, factors, knee hip, risk factors, abductor, abductor strength, decreased hip, factors in, hip abductor, hip muscle, hip strength, in hip, predictors, psychological factors, risk factor"
4,"ankle, fatigue, ankle sprain, concussion, intervention, season, concussions, duration, function, muscle activation, prevention, rehabilitation, stabilization, traction, without fatigue"
5,"force, artificial turf, brace, distance, kick performance, knee brace, shoe, surface, turf, balance, balance ability, distance of, dominance, evidence, foot distance"
6,"acl, acl injury, acl rupture, acl strain, after acl, second acl"
