topic,top_terms
0,players; injury; study; football; sports; injuries; concussion; significant; years; total; results; training; soccer; scores; using
1,acl; injury; aclr; risk; knee; athletes; joint; abstract; research; et; al; compared; prevention; concussion; patients
2,injury; athletes; soccer; knee; players; study; football; acl; risk; injuries; sports; performance; different; time; elite
3,head; impact; impacts; football; injury; players; acceleration; concussion; linear; study; athletes; artificial; youth; data; model
4,training; group; players; soccer; study; sprint; performance; control; test; jump; effects; compared; cod; intervention; years
5,injury; soccer; knee; peak; players; lower; landing; study; group; football; athletes; hip; results; significant; risk
