topic,top_terms
0,players; study; soccer; athletes; sports; football; head; bold; injury; training; ankle; brain; results; pain; age
1,knee; injury; acl; players; study; peak; performance; athletes; football; landing; risk; injuries; compared; soccer; hip
2,injuries; injury; analysis; study; data; athletes; sports; players; football; using; results; research; used; running; body
3,study; knee; using; athletes; body; force; hip; based; joint; analysis; data; biomechanical; performance; soccer; sensor
4,training; performance; players; soccer; sprint; jump; study; power; test; group; tests; results; height; athletes; hamstring
5,file; data; type; recovery; plane; test; gait; matlab; excell; code; football; outcomes; time; strong; statistically
