topic,top_terms
0,players; lt; gt; soccer; strength; test; training; significant; study; performance; group; peak; fatigue; knee; differences
1,knee; mml; acl; hip; injury; study; players; athletes; risk; landing; lower; motion; aclr; angle; joint
2,soccer; athletes; performance; sports; study; vs; speed; text; using; kicking; formula; cognitive; players; surface; studies
3,injury; players; injuries; football; acl; soccer; risk; study; studies; training; athletes; factors; sports; data; results
4,football; injury; injuries; players; lower; joint; research; training; study; noncontact; limb; group; knee; meniscus; soccer
5,cam; morphology; bone; training; load; soccer; results; study; players; significant; development; weeks; patients; stability; acute
