topic,top_terms
0,players; athletes; soccer; study; strength; performance; training; significant; test; program; group; injury; peak; control; compared
1,injury; knee; risk; injuries; acl; hip; training; landing; athletes; study; lower; ankle; soccer; female; players
2,injury; lt; gt; players; injuries; football; soccer; em; knee; hamstring; muscle; men; match; women; pain
3,soccer; players; fatigue; ball; performance; time; significant; used; differences; force; study; group; kicking; kg; playing
4,jump; squat; time; concentric; velocity; movement; cmvj; kinesio; overuse; youth; greater; performed; taping; countermovement; height
5,head; players; football; impact; impacts; concussion; study; athletes; measures; heading; injury; soccer; using; data; acceleration
