topic,top_terms
0,players; concussion; data; head; athletes; football; injury; season; sports; impact; impacts; performance; sport; symptoms; exposure
1,soccer; players; training; group; knee; study; performance; jump; athletes; football; landing; control; test; strength; results
2,knee; acl; injury; players; soccer; group; study; strength; muscle; peak; injuries; risk; significant; athletes; lower
3,soccer; players; study; pain; leg; test; using; hip; difference; hamstring; participants; limb; ball; results; injury
4,injuries; injury; soccer; players; ankle; study; ball; results; high; foot; data; sports; football; lower; athletes
5,head; impact; impacts; football; injury; athletes; risk; study; concussion; brain; stress; strain; players; left; concussions
