cluster,sample_keywords
0,"group, graft, grass, experimental group, grade, program, programme, autograft, both groups, cai group, grafts, groin, heading group, hip groin, in group"
1,"acl, aclr, acceleration, activation, intervention, soccer, acl injury, field rehabilitation, fixation, abduction, accelerations, acl injured, acl reconstruction, acl rupture, actions"
2,"athletes, ankle, dominant, angular, footballers, helmet, angles, angular behavior, behavior, dominant leg, futsal players, hamstrings, of helmet, part, plyometric"
3,"heading, es, kicking, landing, training, treatment, cutting, coaching, running, sprinting, turning, walking, boxing, concerning, cuing"
4,"concussion, post concussion, of concussion, concussed, concussion diagnosis, concussion incidence, concussion on, concussion prevention, concussion research, concussions, concussive, following concussion, subconcussive, subconcussive head"
5,"h3, cod, knee, turf, foot, reliability, sprint, artificial turf, injuries, leg, min, muscle, balance, basketball, cognitive"
6,"head, of head, head helmet, head injuries, head neck, to head"
7,"impacts, impact, sports, impulse, head impact, sport, team sports, impact exposure, impact loading, in sport, sports equipment, sports performance, sportsmen, these sports, to sport"
