topic,top_terms
0,injury; acl; athletes; sports; injuries; aclr; anterior; ligament; patients; concussion; knee; rehabilitation; reconstruction; cruciate; treatment
1,players; soccer; study; performance; training; group; football; test; balance; significant; jump; strength; results; ankle; athletes
2,injury; sports; studies; risk; factors; results; study; acl; hamstring; using; analysis; used; muscle; physical; injuries
3,knee; hip; joint; athletes; landing; peak; injury; study; ankle; lower; group; players; compared; running; risk
4,lt; gt; performance; force; study; speed; soccer; players; training; using; running; sprint; used; data; results
5,injuries; injury; football; players; training; studies; review; sports; risk; using; athletes; study; research; performance; prevention
