cluster,sample_keywords
0,"acl, bold, hamstring, running, ankle, brain, injuries, velocity, hip, injury, knee, landing, leg, sand, skill"
1,"sprint, anthropometric, biomechanical, joint, joints, knee joint, movement, movement patterns, nt, plyometric, plyometric training, related movements, repeated sprint, student, treatment"
2,"heavy, head, heading, he, health, health care, football heading, head impact, head impacts, head model, head models, headers, healing, healthy, of head"
3,"torque, resistance, artificial turf, natural, recovery, reliability, responses, return, return to, turf, adult stature, artificial, ci to, combine related, fatigue related"
4,"concussion, impact, lesions, abduction, activity, connectivity, contact, coordination, file, impacts, inertial, knee abduction, of file, reconstruction, technical"
5,"sensor, season, sensor setup, service providers, extensor, flexor, flexor extensor, flexors extensors, hip extensor, in extension, inertial sensor, motor, motor cortex, motor skill, motor skills"
6,"sprint performance, force, performance, balance, foot, football, forefoot, acl force, athletic performance, cutting performance, exercise performance, foot orthoses, foot posture, foot type, football players"
7,"collar, musculoskeletal, neuromuscular, hip muscles, muscle, muscle activity, muscle soreness, muscle torque, muscles, muscular, muscular endurance, musculoskeletal injuries, musculoskeletal injury, musculoskeletal modelling, neuromuscular control"
